Variable,Total_Count,Missing_Count,Present_Count,Missing_Percent,Data_Type,Unique_Values
presc_cul_tetracycline,1075,1075,0,100.0,float64,0
thirdrep_ampicillin,1075,1075,0,100.0,float64,0
thirdrep_amoxicillin,1075,1075,0,100.0,float64,0
thirdrep_amikacin,1075,1075,0,100.0,float64,0
firsrep_cefixime,1075,1075,0,100.0,float64,0
firsrep_cefoxitin,1075,1075,0,100.0,float64,0
firsrep_cefsalbactam,1075,1075,0,100.0,float64,0
firsrep_cofotaxime,1075,1075,0,100.0,float64,0
firsrep_doripenem,1075,1075,0,100.0,float64,0
firsrep_ertapenem,1075,1075,0,100.0,float64,0
firsrep_levofloxacin,1075,1075,0,100.0,float64,0
firsrep_linezolid,1075,1075,0,100.0,float64,0
firsrep_nalidixicacid,1075,1075,0,100.0,float64,0
firsrep_nitrofurantoin,1075,1075,0,100.0,float64,0
sec_oth2_ast,1075,1075,0,100.0,float64,0
sec_oth2_name,1075,1075,0,100.0,float64,0
sec_tigecycline,1075,1075,0,100.0,float64,0
sec_rifampin,1075,1075,0,100.0,float64,0
sec_oxacillin,1075,1075,0,100.0,float64,0
thirdrep_amoxiclav,1075,1075,0,100.0,float64,0
thirdrep_amp_sulbactam,1075,1075,0,100.0,float64,0
sec_cofotaxime,1075,1075,0,100.0,float64,0
thirdrep_azithromycin,1075,1075,0,100.0,float64,0
thirdrep_doripenem,1075,1075,0,100.0,float64,0
third_azithromycin,1075,1075,0,100.0,float64,0
thirdrep_cofotaxime,1075,1075,0,100.0,float64,0
thirdrep_clindamycin,1075,1075,0,100.0,float64,0
thirdrep_ciprofloxacin,1075,1075,0,100.0,float64,0
thirdrep_chloramphenicol,1075,1075,0,100.0,float64,0
thirdrep_cefuroxime,1075,1075,0,100.0,float64,0
thirdrep_cefsalbactam,1075,1075,0,100.0,float64,0
thirdrep_ceftriaxone,1075,1075,0,100.0,float64,0
thirdrep_ceftazidime,1075,1075,0,100.0,float64,0
firsrep_amoxicillin,1075,1075,0,100.0,float64,0
firsrep_azithromycin,1075,1075,0,100.0,float64,0
firsrep_aztreonam,1075,1075,0,100.0,float64,0
thirdrep_cefoxitin,1075,1075,0,100.0,float64,0
thirdrep_cefotaxime,1075,1075,0,100.0,float64,0
thirdrep_cefixime,1075,1075,0,100.0,float64,0
thirdrep_aztreonam,1075,1075,0,100.0,float64,0
sec_doripenem,1075,1075,0,100.0,float64,0
sec_cefsalbactam,1075,1075,0,100.0,float64,0
thirdrep_ertapenem,1075,1075,0,100.0,float64,0
first_doripenem,1075,1075,0,100.0,float64,0
secrep_amoxicillin,1075,1075,0,100.0,float64,0
secrep_amoxiclav,1075,1075,0,100.0,float64,0
secrep_amp_sulbactam,1075,1075,0,100.0,float64,0
secrep_azithromycin,1075,1075,0,100.0,float64,0
secrep_aztreonam,1075,1075,0,100.0,float64,0
secrep_cefepime,1075,1075,0,100.0,float64,0
secrep_cefixime,1075,1075,0,100.0,float64,0
secrep_cefoxitin,1075,1075,0,100.0,float64,0
secrep_nalidixicacid,1075,1075,0,100.0,float64,0
secrep_linezolid,1075,1075,0,100.0,float64,0
secrep_levofloxacin,1075,1075,0,100.0,float64,0
secrep_erythromycin,1075,1075,0,100.0,float64,0
secrep_ertapenem,1075,1075,0,100.0,float64,0
secrep_doripenem,1075,1075,0,100.0,float64,0
secrep_cofotaxime,1075,1075,0,100.0,float64,0
secrep_clindamycin,1075,1075,0,100.0,float64,0
secrep_cefsalbactam,1075,1075,0,100.0,float64,0
spo2_discharge,1075,1075,0,100.0,float64,0
presc_cul_tigecycline,1075,1075,0,100.0,float64,0
firsrep_rifampin,1075,1075,0,100.0,float64,0
firsrep_oth2_ast,1075,1075,0,100.0,float64,0
firsrep_streptomycin,1075,1075,0,100.0,float64,0
firsrep_tigecycline,1075,1075,0,100.0,float64,0
third_rep_organis,1075,1075,0,100.0,float64,0
secrep_oth2_ast,1075,1075,0,100.0,float64,0
secrep_oth2_name,1075,1075,0,100.0,float64,0
secrep_oth_ast,1075,1075,0,100.0,float64,0
secrep_othe,1075,1075,0,100.0,float64,0
secrep_vancomycin,1075,1075,0,100.0,float64,0
secrep_tigecycline,1075,1075,0,100.0,float64,0
secrep_tetracycline,1075,1075,0,100.0,float64,0
secrep_streptomycin,1075,1075,0,100.0,float64,0
secrep_rifampin,1075,1075,0,100.0,float64,0
secrep_piperacillin,1075,1075,0,100.0,float64,0
secrep_pen_g,1075,1075,0,100.0,float64,0
secrep_oxacillin,1075,1075,0,100.0,float64,0
secrep_nitrofurantoin,1075,1075,0,100.0,float64,0
firsrep_oth2_name,1075,1075,0,100.0,float64,0
thirdrep_doxycycline,1075,1075,0,100.0,float64,0
thirdrep_cefepime,1075,1075,0,100.0,float64,0
thirdrep_erythromycin,1075,1075,0,100.0,float64,0
presc_cul_linezolid,1075,1075,0,100.0,float64,0
presc_cul_doripenem,1075,1075,0,100.0,float64,0
third_pen_g,1075,1075,0,100.0,float64,0
third_oxacillin,1075,1075,0,100.0,float64,0
presc_cul_ertapenem,1075,1075,0,100.0,float64,0
third_linezolid,1075,1075,0,100.0,float64,0
presc_cul_cefoxitin,1075,1075,0,100.0,float64,0
third_ertapenem,1075,1075,0,100.0,float64,0
third_cefoxitin,1075,1075,0,100.0,float64,0
third_doxycycline,1075,1075,0,100.0,float64,0
presc_cul_nalidixicacid,1075,1075,0,100.0,float64,0
third_doripenem,1075,1075,0,100.0,float64,0
third_cofotaxime,1075,1075,0,100.0,float64,0
third_clindamycin,1075,1075,0,100.0,float64,0
third_cefsalbactam,1075,1075,0,100.0,float64,0
presc_cul_cofotaxime,1075,1075,0,100.0,float64,0
third_rifampin,1075,1075,0,100.0,float64,0
third_streptomycin,1075,1075,0,100.0,float64,0
third_tigecycline,1075,1075,0,100.0,float64,0
presc_cul_cefuroxime,1075,1075,0,100.0,float64,0
third_vancomycin,1075,1075,0,100.0,float64,0
third_othe,1075,1075,0,100.0,float64,0
third_oth_ast,1075,1075,0,100.0,float64,0
third_oth2_name,1075,1075,0,100.0,float64,0
third_oth2_ast,1075,1075,0,100.0,float64,0
presc_cul_vancomycin,1075,1075,0,100.0,float64,0
presc_cul_amoxicillin,1075,1075,0,100.0,float64,0
presc_cul_amp_sulbactam,1075,1075,0,100.0,float64,0
presc_cul_azithromycin,1075,1075,0,100.0,float64,0
presc_cul_aztreonam,1075,1075,0,100.0,float64,0
presc_cul_cefepime,1075,1075,0,100.0,float64,0
presc_cul_cefixime,1075,1075,0,100.0,float64,0
presc_cul_oxacillin,1075,1075,0,100.0,float64,0
third_erythromycin,1075,1075,0,100.0,float64,0
presc_cul_rifampin,1075,1075,0,100.0,float64,0
thirdrep_vancomycin,1075,1075,0,100.0,float64,0
thirdrep_pen_g,1075,1075,0,100.0,float64,0
thirdrep_streptomycin,1075,1075,0,100.0,float64,0
thirdrep_piperacillin,1075,1075,0,100.0,float64,0
thirdrep_nitrofurantoin,1075,1075,0,100.0,float64,0
thirdrep_nalidixicacid,1075,1075,0,100.0,float64,0
thirdrep_meropenem,1075,1075,0,100.0,float64,0
thirdrep_tigecycline,1075,1075,0,100.0,float64,0
thirdrep_pip_tazobactam,1075,1075,0,100.0,float64,0
presc_cul_piperacillin,1075,1075,0,100.0,float64,0
thirdrep_linezolid,1075,1075,0,100.0,float64,0
presc_cul_streptomycin,1075,1075,0,100.0,float64,0
thirdrep_sxt,1075,1075,0,100.0,float64,0
thirdrep_levofloxacin,1075,1075,0,100.0,float64,0
thirdrep_oxacillin,1075,1075,0,100.0,float64,0
thirdrep_othe,1075,1075,0,100.0,float64,0
thirdrep_oth_ast,1075,1075,0,100.0,float64,0
thirdrep_imipenem,1075,1075,0,100.0,float64,0
thirdrep_oth2_name,1075,1075,0,100.0,float64,0
thirdrep_gentamicin,1075,1075,0,100.0,float64,0
