Variable,Coefficient
age,0.28962850182167094
sex,0.10130658606744956
ward,-0.19196578057336985
systolic_bp_baseline,-0.14799861946371354
hiv_status,-0.022619424618338355
cormobid_condition,0.3539238167613183
pulse_baseline,0.2636911988686915
temp_baseline,0.1271171875651577
rr_baseline,0.08578766059209703
spo2_baseline,-0.01709189353220054
gcs_baseline,-0.28334033658262575
first_organism,-0.08005051434570312
infect_site___1,0.05326921057726307
referral,-0.03378852486404145
facility_category,0.13615000257315024
name_of_rrh,-0.0077486632053426815
complications,0.21021206070713738
admission_date,-0.08221190596515368
res_district,0.20116154519072726
occupation,-0.05376135586156715
allergies,0.08919229257354516
antib_prior_admi,0.09960933116052786
infect_site___2,0.21810253887780992
infect_site___3,0.04825979651456027
site_based_sample___1,0.23250396042814714
